number,name,position_lat,position_lng,available_bikes,available_bike_stands,rounded_last_update,temp,feels_like,humidity,rain_1h,weather_desc,weather_brief,wind_speed,weatherid
24,CATHAL BRUGHA STREET,53.3521,-6.26053,18,2,2024-03-26 21:00:00,280.7,277.41,90,0.0,scattered clouds,Clouds,5.66,802
24,CATHAL BRUGHA STREET,53.3521,-6.26053,18,2,2024-03-26 21:00:00,280.46,277.11,90,0.0,scattered clouds,Clouds,5.66,802
24,CATHAL BRUGHA STREET,53.3521,-6.26053,18,2,2024-03-26 21:00:00,280.59,277.27,90,0.0,scattered clouds,Clouds,5.66,802
25,MERRION SQUARE EAST,53.3394,-6.24655,0,30,2024-03-26 21:00:00,280.65,277.35,90,0.0,scattered clouds,Clouds,5.66,802
25,MERRION SQUARE EAST,53.3394,-6.24655,0,30,2024-03-26 21:00:00,280.7,277.41,90,0.0,scattered clouds,Clouds,5.66,802
25,MERRION SQUARE EAST,53.3394,-6.24655,0,30,2024-03-26 21:00:00,280.46,277.11,90,0.0,scattered clouds,Clouds,5.66,802
25,MERRION SQUARE EAST,53.3394,-6.24655,0,30,2024-03-26 21:00:00,280.59,277.27,90,0.0,scattered clouds,Clouds,5.66,802
26,MERRION SQUARE WEST,53.3398,-6.25199,11,9,2024-03-26 21:00:00,280.65,277.35,90,0.0,scattered clouds,Clouds,5.66,802
26,MERRION SQUARE WEST,53.3398,-6.25199,11,9,2024-03-26 21:00:00,280.7,277.41,90,0.0,scattered clouds,Clouds,5.66,802
26,MERRION SQUARE WEST,53.3398,-6.25199,11,9,2024-03-26 21:00:00,280.46,277.11,90,0.0,scattered clouds,Clouds,5.66,802
26,MERRION SQUARE WEST,53.3398,-6.25199,11,9,2024-03-26 21:00:00,280.59,277.27,90,0.0,scattered clouds,Clouds,5.66,802
27,MOLESWORTH STREET,53.3413,-6.25812,1,18,2024-03-26 21:00:00,280.65,277.35,90,0.0,scattered clouds,Clouds,5.66,802
27,MOLESWORTH STREET,53.3413,-6.25812,1,18,2024-03-26 21:00:00,280.7,277.41,90,0.0,scattered clouds,Clouds,5.66,802
27,MOLESWORTH STREET,53.3413,-6.25812,1,18,2024-03-26 21:00:00,280.46,277.11,90,0.0,scattered clouds,Clouds,5.66,802
27,MOLESWORTH STREET,53.3413,-6.25812,1,18,2024-03-26 21:00:00,280.59,277.27,90,0.0,scattered clouds,Clouds,5.66,802
28,MOUNTJOY SQUARE WEST,53.3563,-6.25859,16,14,2024-03-26 21:00:00,280.65,277.35,90,0.0,scattered clouds,Clouds,5.66,802
28,MOUNTJOY SQUARE WEST,53.3563,-6.25859,16,14,2024-03-26 21:00:00,280.7,277.41,90,0.0,scattered clouds,Clouds,5.66,802
28,MOUNTJOY SQUARE WEST,53.3563,-6.25859,16,14,2024-03-26 21:00:00,280.46,277.11,90,0.0,scattered clouds,Clouds,5.66,802
