number,name,position_lat,position_lng,available_bikes,available_bike_stands,rounded_last_update,temp,feels_like,humidity,rain_1h,weather_desc,weather_brief,wind_speed,weatherid
107,CHARLEVILLE ROAD,53.3592,-6.28187,9,31,2024-03-26 21:00:00,280.59,277.27,90,0.0,scattered clouds,Clouds,5.66,802
108,AVONDALE ROAD,53.3594,-6.27614,9,26,2024-03-26 21:00:00,280.65,277.35,90,0.0,scattered clouds,Clouds,5.66,802
108,AVONDALE ROAD,53.3594,-6.27614,9,26,2024-03-26 21:00:00,280.7,277.41,90,0.0,scattered clouds,Clouds,5.66,802
108,AVONDALE ROAD,53.3594,-6.27614,9,26,2024-03-26 21:00:00,280.46,277.11,90,0.0,scattered clouds,Clouds,5.66,802
108,AVONDALE ROAD,53.3594,-6.27614,9,26,2024-03-26 21:00:00,280.59,277.27,90,0.0,scattered clouds,Clouds,5.66,802
109,BUCKINGHAM STREET LOWER,53.3533,-6.24932,10,19,2024-03-26 21:00:00,280.65,277.35,90,0.0,scattered clouds,Clouds,5.66,802
109,BUCKINGHAM STREET LOWER,53.3533,-6.24932,10,19,2024-03-26 21:00:00,280.7,277.41,90,0.0,scattered clouds,Clouds,5.66,802
109,BUCKINGHAM STREET LOWER,53.3533,-6.24932,10,19,2024-03-26 21:00:00,280.46,277.11,90,0.0,scattered clouds,Clouds,5.66,802
109,BUCKINGHAM STREET LOWER,53.3533,-6.24932,10,19,2024-03-26 21:00:00,280.59,277.27,90,0.0,scattered clouds,Clouds,5.66,802
110,PHIBSBOROUGH ROAD,53.3563,-6.27372,13,27,2024-03-26 21:00:00,280.65,277.35,90,0.0,scattered clouds,Clouds,5.66,802
110,PHIBSBOROUGH ROAD,53.3563,-6.27372,13,27,2024-03-26 21:00:00,280.7,277.41,90,0.0,scattered clouds,Clouds,5.66,802
110,PHIBSBOROUGH ROAD,53.3563,-6.27372,13,27,2024-03-26 21:00:00,280.46,277.11,90,0.0,scattered clouds,Clouds,5.66,802
110,PHIBSBOROUGH ROAD,53.3563,-6.27372,13,27,2024-03-26 21:00:00,280.59,277.27,90,0.0,scattered clouds,Clouds,5.66,802
111,MOUNTJOY SQUARE EAST,53.3567,-6.25636,6,34,2024-03-26 21:00:00,280.65,277.35,90,0.0,scattered clouds,Clouds,5.66,802
111,MOUNTJOY SQUARE EAST,53.3567,-6.25636,6,34,2024-03-26 21:00:00,280.7,277.41,90,0.0,scattered clouds,Clouds,5.66,802
111,MOUNTJOY SQUARE EAST,53.3567,-6.25636,6,34,2024-03-26 21:00:00,280.46,277.11,90,0.0,scattered clouds,Clouds,5.66,802
111,MOUNTJOY SQUARE EAST,53.3567,-6.25636,6,34,2024-03-26 21:00:00,280.59,277.27,90,0.0,scattered clouds,Clouds,5.66,802
112,NORTH CIRCULAR ROAD (O'CONNELL'S),53.3578,-6.25156,17,13,2024-03-26 21:00:00,280.65,277.35,90,0.0,scattered clouds,Clouds,5.66,802
112,NORTH CIRCULAR ROAD (O'CONNELL'S),53.3578,-6.25156,17,13,2024-03-26 21:00:00,280.7,277.41,90,0.0,scattered clouds,Clouds,5.66,802
112,NORTH CIRCULAR ROAD (O'CONNELL'S),53.3578,-6.25156,17,13,2024-03-26 21:00:00,280.46,277.11,90,0.0,scattered clouds,Clouds,5.66,802
112,NORTH CIRCULAR ROAD (O'CONNELL'S),53.3578,-6.25156,17,13,2024-03-26 21:00:00,280.59,277.27,90,0.0,scattered clouds,Clouds,5.66,802
113,MERRION SQUARE SOUTH,53.3386,-6.24861,10,30,2024-03-26 21:00:00,280.65,277.35,90,0.0,scattered clouds,Clouds,5.66,802
113,MERRION SQUARE SOUTH,53.3386,-6.24861,10,30,2024-03-26 21:00:00,280.7,277.41,90,0.0,scattered clouds,Clouds,5.66,802
113,MERRION SQUARE SOUTH,53.3386,-6.24861,10,30,2024-03-26 21:00:00,280.46,277.11,90,0.0,scattered clouds,Clouds,5.66,802
113,MERRION SQUARE SOUTH,53.3386,-6.24861,10,30,2024-03-26 21:00:00,280.59,277.27,90,0.0,scattered clouds,Clouds,5.66,802
114,WILTON TERRACE (PARK),53.3337,-6.24834,0,40,2024-03-26 21:00:00,280.65,277.35,90,0.0,scattered clouds,Clouds,5.66,802
114,WILTON TERRACE (PARK),53.3337,-6.24834,0,40,2024-03-26 21:00:00,280.7,277.41,90,0.0,scattered clouds,Clouds,5.66,802
114,WILTON TERRACE (PARK),53.3337,-6.24834,0,40,2024-03-26 21:00:00,280.46,277.11,90,0.0,scattered clouds,Clouds,5.66,802
114,WILTON TERRACE (PARK),53.3337,-6.24834,0,40,2024-03-26 21:00:00,280.59,277.27,90,0.0,scattered clouds,Clouds,5.66,802
115,KILLARNEY STREET,53.3548,-6.24758,29,1,2024-03-26 21:00:00,280.65,277.35,90,0.0,scattered clouds,Clouds,5.66,802
115,KILLARNEY STREET,53.3548,-6.24758,29,1,2024-03-26 21:00:00,280.7,277.41,90,0.0,scattered clouds,Clouds,5.66,802
115,KILLARNEY STREET,53.3548,-6.24758,29,1,2024-03-26 21:00:00,280.46,277.11,90,0.0,scattered clouds,Clouds,5.66,802
115,KILLARNEY STREET,53.3548,-6.24758,29,1,2024-03-26 21:00:00,280.59,277.27,90,0.0,scattered clouds,Clouds,5.66,802
116,BROADSTONE,53.3547,-6.27231,3,27,2024-03-26 21:00:00,280.65,277.35,90,0.0,scattered clouds,Clouds,5.66,802
116,BROADSTONE,53.3547,-6.27231,3,27,2024-03-26 21:00:00,280.7,277.41,90,0.0,scattered clouds,Clouds,5.66,802
116,BROADSTONE,53.3547,-6.27231,3,27,2024-03-26 21:00:00,280.46,277.11,90,0.0,scattered clouds,Clouds,5.66,802
116,BROADSTONE,53.3547,-6.27231,3,27,2024-03-26 21:00:00,280.59,277.27,90,0.0,scattered clouds,Clouds,5.66,802
117,HANOVER QUAY EAST,53.3437,-6.23175,24,16,2024-03-26 21:00:00,280.65,277.35,90,0.0,scattered clouds,Clouds,5.66,802
117,HANOVER QUAY EAST,53.3437,-6.23175,24,16,2024-03-26 21:00:00,280.7,277.41,90,0.0,scattered clouds,Clouds,5.66,802
117,HANOVER QUAY EAST,53.3437,-6.23175,24,16,2024-03-26 21:00:00,280.46,277.11,90,0.0,scattered clouds,Clouds,5.66,802
117,HANOVER QUAY EAST,53.3437,-6.23175,24,16,2024-03-26 21:00:00,280.59,277.27,90,0.0,scattered clouds,Clouds,5.66,802
